mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.009996891021728516,0.0,0.0,0.0,relu,0.001,"(0, 18)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (0, 18), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3960
0.009997725486755371,0.0010007619857788086,0.0,0.0,relu,10,"(0, 18)",constant,adam,"{'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (0, 18), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3959
0.009997725486755371,8.344650268554688e-07,0.0,0.0,relu,0.5,"(0, 10)",constant,adam,"{'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (0, 10), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3958
0.009996771812438965,0.0009995698928833008,0.0,0.0,relu,0.001,"(35, 0)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (35, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3957
0.010996222496032715,3.5762786865234375e-07,0.0,0.0,relu,1,"(0, 16)",constant,adam,"{'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': (0, 16), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3956
0.009498953819274902,0.0004965066909790039,0.0,0.0,relu,0.5,"(10, 0)",constant,adam,"{'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (10, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3955
0.011496305465698242,0.0004992485046386719,0.0,0.0,relu,0.001,"(16, 0)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (16, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3954
0.010994911193847656,0.0019991397857666016,0.0,0.0,relu,0.5,"(0, 15)",constant,adam,"{'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (0, 15), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3953
0.01049339771270752,0.0004979372024536133,0.0,0.0,relu,10,"(25, 0)",constant,adam,"{'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (25, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3952
0.010996103286743164,0.0009989738464355469,0.0,0.0,relu,1,"(0, 40)",constant,adam,"{'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': (0, 40), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3951
0.009996771812438965,5.960464477539062e-07,0.0,0.0,relu,0.5,"(16, 0)",constant,adam,"{'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (16, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3950
0.010996103286743164,0.00099945068359375,0.0,0.0,relu,0.001,"(0, 40)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (0, 40), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3949
0.008997797966003418,0.0010002851486206055,0.0,0.0,relu,10,"(18, 0)",constant,adam,"{'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (18, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3948
0.009497284889221191,0.0004998445510864258,0.0,0.0,relu,10,"(0, 25)",constant,adam,"{'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (0, 25), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3947
